127.0.0.1 - - [07/Jun/2022:05:49:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:49:47 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:49:47 +0530] "GET /ECommerce/utilities.css HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:49:48 +0530] "GET /ECommerce/img1.jpg HTTP/1.1" 200 50357
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:49:51 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:49:51 +0530] "GET /ECommerce/register.webp HTTP/1.1" 200 20590
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:50:04 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:50:19 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:50:38 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:53:48 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:53:50 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:53:51 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:53:52 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:54:05 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:54:07 +0530] "GET /ECommerce/signout.jsp HTTP/1.1" 500 2730
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:17 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:20 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:20 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:21 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:29 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:41 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [07/Jun/2022:05:55:44 +0530] "GET /ECommerce/signout.jsp HTTP/1.1" 200 6497
