127.0.0.1 - - [11/Jul/2022:05:56:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:56:50 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:56:50 +0530] "GET /ECommerce/utilities.css HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:56:52 +0530] "GET /ECommerce/shoeback.jpg HTTP/1.1" 200 14467
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:56:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:58:00 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:58:04 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:58:14 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:58:27 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:05:59:59 +0530] "GET /ECommerce/ HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:02 +0530] "GET /ECommerce/shop.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:09 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:11 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:12 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:15 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:17 +0530] "GET /ECommerce/shop.jsp HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:20 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:21 +0530] "GET /ECommerce/register.webp HTTP/1.1" 200 20590
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:34 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 10272
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:38 +0530] "GET /ECommerce/shop.jsp HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:39 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:42 +0530] "GET /ECommerce/shop.jsp HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:00:51 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:13 +0530] "POST /ECommerce/update.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:21 +0530] "GET /ECommerce/admin.jsp HTTP/1.1" 200 12594
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:29 +0530] "GET /ECommerce/signout.jsp HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:31 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:43 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 10188
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:01:47 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:02:02 +0530] "POST /ECommerce/update.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:02:08 +0530] "GET /ECommerce/shop.jsp HTTP/1.1" 200 10388
0:0:0:0:0:0:0:1 - - [11/Jul/2022:06:02:21 +0530] "GET /ECommerce/signout.jsp HTTP/1.1" 200 9166
