127.0.0.1 - - [10/Jun/2022:03:26:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:26:54 +0530] "GET /Langs/ HTTP/1.1" 500 3799
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:26:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:30:15 +0530] "GET /Langs/ HTTP/1.1" 500 3871
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:30:35 +0530] "GET /Langs/ HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:31:12 +0530] "GET /Langs/ HTTP/1.1" 200 20450
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:31:15 +0530] "GET /Langs/ HTTP/1.1" 200 20471
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:32:03 +0530] "GET /Langs/ HTTP/1.1" 500 3992
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:32:47 +0530] "GET /Langs/ HTTP/1.1" 500 3893
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:33:00 +0530] "GET /Langs/ HTTP/1.1" 500 3893
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:33:33 +0530] "GET /Langs/ HTTP/1.1" 200 20437
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:34:56 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:35:00 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:35:02 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:37:58 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:00 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:04 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:06 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:08 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:42 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:45 +0530] "GET /Langs/ HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:38:56 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:39:17 +0530] "GET /Langs/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [10/Jun/2022:03:39:43 +0530] "GET /Langs/ HTTP/1.1" 200 287
