2022-06-26 10:07:02,713 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-06-26 12:08:25,634 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-06-26 12:12:56,467 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\pom.xml
2022-06-26 12:13:32,922 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: onlineTest:OnlineTest:0.0.1-SNAPSHOT @ D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\pom.xml.
2022-06-26 12:13:37,186 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineTest/src/main/java
2022-06-26 12:13:37,187 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /OnlineTest/src/main/resources
2022-06-26 12:13:37,188 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineTest/src/test/java
2022-06-26 12:13:42,696 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 45 sec
2022-06-26 12:13:44,816 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:13:44,829 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:13:44,833 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:13:44,836 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\src\test\resources
2022-06-26 12:13:53,818 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:13:53,825 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:13:53,827 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:13:53,829 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\src\test\resources
2022-06-26 12:14:57,839 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:14:57,910 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:14:57,918 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
